,id,personName,companyName,name1,name2,name3,address,city,plz,country,phoneNum,faxNum,email,webAddr,logoUrl
0,571114,247FactoryNet,247FactoryNet,247FactoryNet GmbH,,,Cäsar-von-Hofacker-Str. 5,Tutzing,82327,Deutschland,(+49 173) 3425618,,info@247factorynet.com,http://www.247factorynet.com,
1,101025413,2K Maschinenbau,2K Maschinenbau,2K Maschinenbau GmbH,,,Krokamp 35,Neumünster,24539,Deutschland,(+49 4321) 8 71-5 63,,arlt@tdk-service.de,http://www.tdk-m.de,
2,105031863,2W Technische Information,2W Technische Information,2W Technische Informations GmbH & Co. KG,,,Lindberghstr. 40,München,80939,Deutschland,(+49 89) 5 20 35-0,,info@2wgmbh.de,https://2wgmbh.de/,
3,214017375,3 S Schnecken + Spindeln + Spiralen,3 S Schnecken + Spindeln + Spiralen,3 S Schnecken + Spindeln + Spiralen,Bearbeitungsges. m.b.H.,member of EREMA group GmbH,Pühretstr. 3,Roitham,4661,Österreich,(+43 7613) 50 04,,office@3s-gmbh.at,http://www.3s-gmbh.at,
4,216028674,365FarmNet,365FarmNet,365FarmNet GmbH,,,Hausvogteiplatz 10,Berlin,10117,Deutschland,(+49 30) 2 59 32 95 00,(+49 30) 2 59 32 95 01,info@365farmnet.com,http://www.365farmnet.com,
5,606000156,3D Interaction Technologies,3D Interaction Technologies,3D Interaction Technologies GmbH,,,Schubertstr. 39,Dresden,01307,Deutschland,(+49 351) 21 96-74 95,,info@3dit.de,http://www.3dit.de,
6,563514,3d Signals,3d Signals,3d Signals GmbH,,,Ohmstr. 12,Langen,63225,Deutschland,(+49 172) 6127914,,info@3dsig.com,https://3dsignals.com/,
7,496312,3DQR,3DQR,3DQR GmbH,,,Hasselbachplatz 2,Magdeburg,39104,Deutschland,(+49 391) 55 68 48 90,,info@3dqr.de,https://www.3dqr.de,
8,523604,4JET Holding,4JET Holding,4JET Holding GmbH,,,Konrad-Zuse-Str. 1,Alsdorf,52477,Deutschland,(+49 2404) 55230-0,,info@4jet.de,www.4jet.de,
9,426758,4JET microtech,4JET microtech,4JET microtech GmbH,,,Konrad-Zuse-Str. 1,Alsdorf,52477,Deutschland,(+49 2404) 55230-400,,info@4micro.de,https://www.4micro.de,
10,103033797,4JET Technologies,4JET Technologies,4JET Technologies GmbH,,,Konrad-Zuse-Str. 1,Alsdorf,52477,Deutschland,(+49 24 04) 5 52 30-0,,info@4jet.de,http://www.4jet.de,
11,650893,5thIndustry,5thIndustry,5thIndustry GmbH,,,Karl-Marx-Allee 92,Berlin,10243,Deutschland,(+49 30) 28662903,,info@5thindustry.de,https://www.5thindustry.de,
12,481766,@-yet Industrial IT Security,@-yet Industrial IT Security,@-yet Industrial IT Security GmbH,,,Neuenhofstr. 194,Aachen,52078,Deutschland,(+49 2175) 16 55 0,,info@add-yet-iis.de,https://add-yet-iis.de/,
13,100016337,A&E Produktionstechnik,A&E Produktionstechnik,A&E Produktionstechnik GmbH,,,Gostritzer Str. 63,Dresden,01217,Deutschland,(+49 351) 8547¿8330,,info@a-e-produktionstechnik.de,http://www.a-e-produktionstechnik.de,
14,213000411,A+W Software,A+W Software,A+W Software GmbH,,,Siemensstraße 3,Fernwald,35463,Deutschland,(+49 641) 96620-0,,info@a-w.com,http://www.a-w.de,
15,100000020,AAF-Lufttechnik,AAF-Lufttechnik,AAF-Lufttechnik GmbH,,,Odenwaldstr. 4,Heppenheim,64646,Deutschland,(+49 6252) 6 99 77-0,,sales.germany@aafeurope.com,http://www.aafeurope.com,
16,100013617,AAGM Aalener,AAGM Aalener,AAGM Aalener,Giessereimaschinen GmbH,,Gewerbehof 28,Bopfingen,73441,Deutschland,(+49 7362) 95 60 37-0,,info@aagm.de,http://www.aagm.de,
17,100000125,ABA Beul,ABA Beul,ABA Beul GmbH,,,Dieselstr. 11,Attendorn,57439,Deutschland,(+49 2722) 6 99-0,,info@ababeul.de,http://www.ababeul.de,
18,100012057,abas Software,abas Software,abas Software GmbH,,,Gartenstr. 67,Karlsruhe,76135,Deutschland,(+49 721) 96 72 3-0,,info@abas-erp.com,http://www.abas-erp.com,
19,222015494,Abass,Abass,Abass GmbH,,,Moselstr. 11,Langen,63225,Deutschland,(+49 6103) 4 04 56 60,,info@abass.de,http://www.abass.de,
20,675023,abaut,abaut,abaut GmbH,,,Agnes-Pockels-Bogen 1,München,80992,Deutschland,(+49 89) 5527 3448,,team@abaut.de,https://www.abaut.de,
21,11000213,ABB,ABB,ABB AG,,,Kallstadter Str. 1,Mannheim,68309,Deutschland,(+49 621) 43 81-0,,info@de.abb.com,http://www.abb.de,
22,50006620,ABB STOTZ-KONTAKT,ABB STOTZ-KONTAKT,ABB STOTZ-KONTAKT GmbH,,,Eppelheimer Str. 82,Heidelberg,69123,Deutschland,(+49 6221) 7 01-0,,info.desto@de.abb.com,http://www.abb.de/stotz-kontakt,
23,100008967,ABI,ABI,ABI Maschinenfabrik und,Vertriebsgesellschaft mbH,,Am Knückel 4,Niedernberg,63843,Deutschland,(+49 6028) 1 23-0,,info@abi-gmbh.de,http://www.abi-group.com,
24,31032287,abilis,abilis,abilis GmbH,IT-Services & Consulting,,Lorenzstr. 8,Stutensee,76297,Deutschland,(+49 7244) 70 80-0,,info@abilis.de,http://www.abilis.de,
25,100004084,ABN Apparatebau Nittenau,ABN Apparatebau Nittenau,ABN Apparatebau Nittenau GmbH,,,Berghamer Str. 15,Nittenau,93149,Deutschland,(+49 9436) 4 33,,kontakt@abn-drucklufttechnik.de,http://www.abn-drucklufttechnik.de,
26,100000313,ABP Induction Systems,ABP Induction Systems,ABP Induction Systems GmbH,,,Kanalstr. 25,Dortmund,44147,Deutschland,(+49 231) 9 97-0,,info@abpinduction.com,http://www.abpinduction.com,
27,644789,Abwa-tec,Abwa-tec,Abwa-tec GmbH,,,Gewerbering 17,Oberndorf,86698,Deutschland,(+49 9090) 9979740,,info@abwa-tec.de,www.abwa-tec.de,
28,31033061,ACATEC Software,ACATEC Software,ACATEC Software GmbH,,,Am Spehrteich 12,Gehrden,30989,Deutschland,(+49 5108) 91 59-0,,info@acatec.de,http://www.acatec.de,
29,105025238,ACBIS,ACBIS,ACBIS GmbH,,,Neureuter Str. 37b,Karlsruhe,76185,Deutschland,(+49 721) 95 79 52-0,,kontakt@acbis.de,http://www.acbis.de,
